clip,model,item_id,seed,family,k,outcome,counted,requested,rel_error,duration_s,text,transcript
clips/qwen06b__wr_really_t6_k08__s0.opus,qwen06b,wr_really_t6_k08,0,word_rep,8,overcount,11,8,0.375,8.72,,THEY WERE REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY TIRED AFTER THE LONG JOURNEY
clips/qwen06b__wr_really_t6_k24__s2.opus,qwen06b,wr_really_t6_k24,2,word_rep,24,loop,241,24,9.0417,163.76,,THEY WERE REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLAREALLYREALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY RALLY REALLY REALLY REALLY REALLY REALLY RALLY REALLY REALLY REALLY RALLY REALLY REALLY REALLY REALLY REALLY RALLY REALLY REALLY REALLY REALLY RALLY RALLY REALLY REALLY REALLY REALLY REALLY RALLY REALLY REALLY REALLY REALY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY RALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY RELLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALY REALLY REALLY REALLY REALL REALY REALY REALY RALY ELY AY REALLY REALLY REALLY REALLY REALLY A SATISFACTOR SFACTOR REALLY REALLY REALLY OVEALLY OR REALLY THIS  REALLY ITS ITS POSITION TION OF THE POSITION OF THE PAGES OF THE POSITION OF THE POSITION OF THE POSITION OF THE POSITION OF THE POSITION OF THE POSITION OF THE POSITION OF THE PAGE ON THE POSITION OF THE PAGE OF THE POSITION OF THE PAGE ON THE POSITION OF THE PAGE ON THE POSITION OF THE PAGE ON THE PAGE ON THE PAPER SHOULD THE PAGE ON THE PAGE ON THE PAPER SHOULD BE THE POSITION OF THE PAGE ON THE PAPER SHOULD BE CONSIDERED IF PAPER SHOULD BE CONSIDERED IF PAPER SHOULD BE CONSIDERED IFTE PAPER SHOULD BE CONSIDERED RE REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY RALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY RALLY REALLY REALLY REALLY REALLY RALLY REALLY BREALY BERREALLY BRREALLY BRALTY BRANLY BRANLY BERANTLY BERANL BIRIANLY BRANTY BIRANTY IRANTLY BIRANTLY BIRIANTLY BIRANTLY BIRIANTLY BIRAY BIRNL BIRNLY BIRNLY BIRIANLY BIREANTY BIRIANY BRANY BIIANTY BIRIANTL BRANY BIRIANTLY BIRIANTLY BIRIANTLY BIRIANY BERANLY BIREANTY BIRNL BERIANTLY BERAN
clips/qwen06b__wr_very_t1_k12__s1.opus,qwen06b,wr_very_t1_k12,1,word_rep,12,miscount,12,12,0.0,8.88,,THE DOG WAS VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY BIG AND IT RAN ACROSS THE FIELD
clips/qwen06b__wr_very_t1_k24__s1.opus,qwen06b,wr_very_t1_k24,1,word_rep,24,correct,24,24,0.0,10.48,,THE DOG WAS VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY BIG AND IT RAN ACROSS THE FIELD
clips/qwen17b__ct_blue_t4_k02__s0.opus,qwen17b,ct_blue_t4_k02,0,control_word,2,correct,2,2,0.0,3.36,,THE LIGHT WAS GREEN BRIGHT BEFORE THE STORM ARRIVED
clips/qwen17b__ct_blue_t4_k06__s0.opus,qwen17b,ct_blue_t4_k06,0,control_word,6,correct,6,6,0.0,5.44,,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD BEFORE THE STORM ARRIVED
clips/qwen17b__ct_blue_t4_k12__s0.opus,qwen17b,ct_blue_t4_k12,0,control_word,12,truncation,12,12,0.0,7.76,,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM BEFORE THE STORM ARRIVED
clips/qwen17b__ct_blue_t4_k16__s0.opus,qwen17b,ct_blue_t4_k16,0,control_word,16,correct,16,16,0.0,11.52,,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
clips/qwen17b__ct_blue_t4_k16__s1.opus,qwen17b,ct_blue_t4_k16,1,control_word,16,truncation,16,16,0.0,10.8,,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
clips/qwen17b__ct_no_t2_k04__s2.opus,qwen17b,ct_no_t2_k04,2,control_word,4,undercount,3,4,-0.25,4.32,,SHE SAID YES MAY BE SURE FINE TO THE OFFER AND THEN LEFT THE ROOM
clips/qwen17b__ct_no_t2_k06__s0.opus,qwen17b,ct_no_t2_k06,0,control_word,6,undercount,5,6,-0.1667,6.16,,SHE SAID YES MAYBE SURE FINE O K WELL TO THE OFFER AND THEN LEFT THE ROOM
clips/qwen17b__ct_no_t2_k16__s0.opus,qwen17b,ct_no_t2_k16,0,control_word,16,undercount,12,16,-0.25,10.96,,SHE SAID YES MAYBE SURE FINE O K WELL RIGHT HUM YES MAYBE SURE FINE O K WELL RIGHT HUM TO THE OFFER AND THEN LEFT THE ROOM
clips/qwen17b__wr_blue_t4_k01__s0.opus,qwen17b,wr_blue_t4_k01,0,word_rep,1,correct,1,1,0.0,2.64,,THE LIGHT WAS BLUE BEFORE THE STORM ARRIVED
clips/qwen17b__wr_blue_t4_k06__s0.opus,qwen17b,wr_blue_t4_k06,0,word_rep,6,correct,6,6,0.0,4.4,,THE LIGHT WAS BLUE BLUE BLUE BLUE BLUE BLUE BEFORE THE STORM ARRIVED
clips/qwen17b__wr_blue_t4_k06__s1.opus,qwen17b,wr_blue_t4_k06,1,word_rep,6,undercount,5,6,-0.1667,4.72,,THE LIGHT WAS BLUE BLUE BLUE BLUE BLUE BEFORE THE STORM ARRIVED
clips/qwen17b__wr_blue_t4_k08__s2.opus,qwen17b,wr_blue_t4_k08,2,word_rep,8,truncation,7,8,-0.125,4.56,,THE LIGHT WAS BLUE BLUE BLUE BLUE BLUE BLUE BLUE BEFORE THE STORM ARRIVED
clips/qwen17b__wr_blue_t4_k16__s0.opus,qwen17b,wr_blue_t4_k16,0,word_rep,16,overcount,19,16,0.1875,8.08,,THE LIGHT WAS BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BEFORE THE STORM ARRIVED
clips/qwen17b__wr_far_t3_k16__s0.opus,qwen17b,wr_far_t3_k16,0,word_rep,16,correct,16,16,0.0,10.16,,HE WALKED FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR INTO THE FOREST BEFORE TURNING BACK
clips/qwen17b__wr_far_t3_k32__s2.opus,qwen17b,wr_far_t3_k32,2,word_rep,32,undercount,31,32,-0.0312,16.96,,HE WALKED FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR FAR INTO THE FOREST BEFORE TURNING BACK
clips/qwen17b__wr_quick_t5_k12__s0.opus,qwen17b,wr_quick_t5_k12,0,word_rep,12,overcount,14,12,0.1667,11.92,,THE RUNNER MOVED QUICK QUICK QUICK QUICK QUICK QUICK QUICK QUICK QUICK QUICK QUICK QUICK QUICK QUICK ALONG THE NARROW PATH
clips/qwen17b__wr_very_t1_k24__s2.opus,qwen17b,wr_very_t1_k24,2,word_rep,24,loop,33,24,0.375,20.8,,THE DOG WAS VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY BIG AND IT RAN ACROSS THE FIELD
clips/xtts2__ct_blue_t4_k02__s0.opus,xtts2,ct_blue_t4_k02,0,control_word,2,correct,2,2,0.0,2.78,,THE LIGHT WAS GREEN BRIGHT BEFORE THE STORM ARRIVED
clips/xtts2__ct_blue_t4_k06__s0.opus,xtts2,ct_blue_t4_k06,0,control_word,6,correct,6,6,0.0,4.87,,HELIGHT WAS GREEN BRIGHT PALE DIM WARM COLD BEFORE THE STORM ARRIVED
clips/xtts2__ct_blue_t4_k08__s2.opus,xtts2,ct_blue_t4_k08,2,control_word,8,truncation,8,8,0.0,5.24,,THELIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
clips/xtts2__ct_blue_t4_k16__s0.opus,xtts2,ct_blue_t4_k16,0,control_word,16,correct,16,16,0.0,10.63,,HELIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
clips/xtts2__ct_blue_t4_k16__s1.opus,xtts2,ct_blue_t4_k16,1,control_word,16,truncation,16,16,0.0,8.77,,THE LIGHT WAS GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT GREEN BRIGHT PALE DIM WARM COLD SHARP SOFT BEFORE THE STORM ARRIVED
clips/xtts2__ct_far_t3_k12__s1.opus,xtts2,ct_far_t3_k12,1,control_word,12,undercount,11,12,-0.0833,6.08,,HE WALKED DEEP FAST LONG WIDE HIGH LOW NEAR PASS DEEP FAST LONG WIDE INTO THE FOREST BEFORE TURNING BACK
clips/xtts2__ct_far_t3_k12__s2.opus,xtts2,ct_far_t3_k12,2,control_word,12,miscount,12,12,0.0,7.89,,HE WALKED DEEP FAST LONG WIDE HIGH LOW NEAR PAST DEEP FAST LONG WIDE INTO THE FOREST BEFORE TURNING BACK
clips/xtts2__ct_far_t3_k16__s0.opus,xtts2,ct_far_t3_k16,0,control_word,16,miscount,16,16,0.0,9.61,,HE WALKED DEEP FAST LONG WIDE HIGH LOW NEAR PAST DEEP FAST LONG WIDE HIGH LOW NEAR PAST INTO THE FOREST BEFORE TURNING BACK
clips/xtts2__ct_far_t3_k24__s1.opus,xtts2,ct_far_t3_k24,1,control_word,24,loop,24,24,0.0,15.04,,HE WALKED DEEP FAST LONG WIDE HIGH LOW NEAR PAST DEEP FAST LONG WIDE HIGH LOW NEAR PAST DEEP FAST LONG WIDE HIGH LOW NEAR PAST INTO THE FOREST BEFORE TURNING BACK
clips/xtts2__ct_no_t2_k04__s0.opus,xtts2,ct_no_t2_k04,0,control_word,4,undercount,3,4,-0.25,4.03,,SHE SAID YES MAYBE SURE FIND TO THE OFFER AND THEN LEFT THE ROOM
clips/xtts2__ct_no_t2_k16__s0.opus,xtts2,ct_no_t2_k16,0,control_word,16,undercount,12,16,-0.25,10.49,,SHE SAID YES MAYBE SURE FINE O K WELL RIGHT HM YES MAYBE SURE FINE O K WELL RIGHT HIM TO THE OFFER AND THEN LEFT THE ROOM
clips/xtts2__wr_blue_t4_k01__s0.opus,xtts2,wr_blue_t4_k01,0,word_rep,1,correct,1,1,0.0,2.13,,THE LIGHT WAS BLUE BEFORE THE STORM ARRIVED
clips/xtts2__wr_blue_t4_k04__s0.opus,xtts2,wr_blue_t4_k04,0,word_rep,4,undercount,3,4,-0.25,2.87,,THE LIGHT WAS BLUE BLUE BLUE BEFORE THE STORM ARRIVED
clips/xtts2__wr_blue_t4_k06__s0.opus,xtts2,wr_blue_t4_k06,0,word_rep,6,undercount,5,6,-0.1667,3.89,,THELIGHT WAS BLUE BLUE BLUE BLUE BLUE BEFORE THE STORM ARRIVED
clips/xtts2__wr_blue_t4_k08__s2.opus,xtts2,wr_blue_t4_k08,2,word_rep,8,truncation,6,8,-0.25,3.62,,THELIGHT WAS BLUE BLUE BLUE BLUE BLUE BLUE BEFORE THE STORM ARRIVED
clips/xtts2__wr_blue_t4_k16__s0.opus,xtts2,wr_blue_t4_k16,0,word_rep,16,truncation,13,16,-0.1875,5.75,,THE LIGHT WAS BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BEFORE THE STORM ARRIVED
clips/xtts2__wr_blue_t4_k16__s1.opus,xtts2,wr_blue_t4_k16,1,word_rep,16,undercount,12,16,-0.25,9.75,,THE LIGHT WAS BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BLUE BL BLUE BLUE BEFORE THE STORM ARRIVED
clips/xtts2__wr_far_t3_k06__s2.opus,xtts2,wr_far_t3_k06,2,word_rep,6,correct,6,6,0.0,5.15,,HE WALKED FAR FAR FAR FAR FAR FAR INTO THE FOREST BEFORE TURNING BACK
clips/xtts2__wr_no_t2_k04__s1.opus,xtts2,wr_no_t2_k04,1,word_rep,4,miscount,4,4,0.0,5.75,,SHE SAID NO NO NO NO TO THE OFFER AND THEN LEFT THE ROOM
clips/xtts2__wr_really_t6_k03__s0.opus,xtts2,wr_really_t6_k03,0,word_rep,3,overcount,4,3,0.3333,4.22,,THEY WERE REALLY REALLY REALLY REALLY TIRED AFTER THE LONG JOURNEY
clips/xtts2__wr_really_t6_k16__s0.opus,xtts2,wr_really_t6_k16,0,word_rep,16,correct,16,16,0.0,8.96,,THEY WERE REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY TIRED AFTER THE LONG JOURNEY
clips/xtts2__wr_really_t6_k24__s0.opus,xtts2,wr_really_t6_k24,0,word_rep,24,overcount,26,24,0.0833,11.79,,THEY WERE REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY REALLY RETIRED AFTER THE LONG JOURNEY
clips/xtts2__wr_very_t1_k24__s2.opus,xtts2,wr_very_t1_k24,2,word_rep,24,loop,29,24,0.2083,27.02,,THE DOG WAS VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY VERY AND I RAN ACROSS THE FIELD OR
